URL,Place Name,Area Type,Parent area,Area code
/reports/localarea?compare=1119879196,Kingston St Mary,Built-up area,South West,E34000028
/reports/localarea?compare=1119879197,Orlingbury,Built-up area,East Midlands,E34000029
/reports/localarea?compare=1119879198,Rode,Built-up area,South West,E34000030
/reports/localarea?compare=1119879199,Upper Denby,Built-up area,Yorkshire and The Humber,E34000031
/reports/localarea?compare=1119879200,Shilton,Built-up area,South East,E34000032
/reports/localarea?compare=1119879201,Witcham,Built-up area,East,E34000033
/reports/localarea?compare=1119879202,Read,Built-up area,North West,E34000034
/reports/localarea?compare=1119879203,Salford Priors,Built-up area,West Midlands,E34000035
/reports/localarea?compare=1119879204,Hyde Heath,Built-up area,South East,E34000036
/reports/localarea?compare=1119879205,Padstow,Built-up area,South West,E34000037
/reports/localarea?compare=1119879206,Willoughby (East Lindsey),Built-up area,East Midlands,E34000038
/reports/localarea?compare=1119879207,Penrith,Built-up area,North West,E34000039
/reports/localarea?compare=1119879208,Winterborne Whitechurch,Built-up area,South West,E34000040
/reports/localarea?compare=1119879209,Bloxham,Built-up area,South East,E34000041
/reports/localarea?compare=1119879210,Stonebridge,Built-up area,East,E34000042
/reports/localarea?compare=1119879211,Lyng,Built-up area,East,E34000043
/reports/localarea?compare=1119879212,Pawlett,Built-up area,South West,E34000044
/reports/localarea?compare=1119879213,Ealand,Built-up area,Yorkshire and The Humber,E34000045
/reports/localarea?compare=1119879214,Husthwaite,Built-up area,Yorkshire and The Humber,E34000046
/reports/localarea?compare=1119879215,Brough (Eden),Built-up area,North West,E34000047
/reports/localarea?compare=1119879216,Bolsover,Built-up area,East Midlands,E34000048
/reports/localarea?compare=1119879217,Cambridge (Stroud),Built-up area,South West,E34000049
/reports/localarea?compare=1119879218,Witton-le-Wear,Built-up area,North East,E34000050
/reports/localarea?compare=1119879219,Moreton on Lugg,Built-up area,West Midlands,E34000051
/reports/localarea?compare=1119879220,Buntingford,Built-up area,East,E34000052
/reports/localarea?compare=1119879221,Low Fulney,Built-up area,East Midlands,E34000053
/reports/localarea?compare=1119879222,Felmersham,Built-up area,East,E34000054
/reports/localarea?compare=1119879223,March,Built-up area,East,E34000055
/reports/localarea?compare=1119879224,Southam,Built-up area,West Midlands,E34000056
/reports/localarea?compare=1119879225,Marston,Built-up area,East Midlands,E34000057
/reports/localarea?compare=1119879226,Grimethorpe,Built-up area,Yorkshire and The Humber,E34000058
/reports/localarea?compare=1119879227,Easington (East Riding of Yorkshire),Built-up area,Yorkshire and The Humber,E34000059
/reports/localarea?compare=1119879228,Chudleigh,Built-up area,South West,E34000060
/reports/localarea?compare=1119879229,Slad,Built-up area,South West,E34000061
/reports/localarea?compare=1119879230,Catterick,Built-up area,Yorkshire and The Humber,E34000062
/reports/localarea?compare=1119879231,Great Oakley,Built-up area,East,E34000063
/reports/localarea?compare=1119879232,Hemswell,Built-up area,East Midlands,E34000064
/reports/localarea?compare=1119879233,Axtown,Built-up area,South West,E34000065
/reports/localarea?compare=1119879234,Moor Row,Built-up area,North West,E34000066
/reports/localarea?compare=1119879235,Royston,Built-up area,East,E34000067
/reports/localarea?compare=1119879236,Studley,Built-up area,West Midlands,E34000068
/reports/localarea?compare=1119879237,Wheatley Hill,Built-up area,North East,E34000069
/reports/localarea?compare=1119879238,Fleckney,Built-up area,East Midlands,E34000070
/reports/localarea?compare=1119879239,Tickenham,Built-up area,South West,E34000071
/reports/localarea?compare=1119879240,Byers Green,Built-up area,North East,E34000072
/reports/localarea?compare=1119879241,Whitwell (Bolsover),Built-up area,East Midlands,E34000073
/reports/localarea?compare=1119879242,Kingsbury,Built-up area,West Midlands,E34000074
/reports/localarea?compare=1119879243,Hazelbury Bryan,Built-up area,South West,E34000075
/reports/localarea?compare=1119879244,Weston (North Hertfordshire),Built-up area,East,E34000076
/reports/localarea?compare=1119879245,Belbroughton,Built-up area,West Midlands,E34000077
/reports/localarea?compare=1119879246,North Creake,Built-up area,East,E34000078
/reports/localarea?compare=1119879247,Simister,Built-up area,North West,E34000079
/reports/localarea?compare=1119879248,Tempsford,Built-up area,East,E34000080
/reports/localarea?compare=1119879249,Ludgershall (Wiltshire),Built-up area,South West,E34000081
/reports/localarea?compare=1119879250,Droxford,Built-up area,South East,E34000082
/reports/localarea?compare=1119879251,Willingham by Stow,Built-up area,East Midlands,E34000083
/reports/localarea?compare=1119879252,Barnoldby le Beck,Built-up area,Yorkshire and The Humber,E34000084
/reports/localarea?compare=1119879253,West Ashling,Built-up area,South East,E34000085
