URL,Place Name,Area Type,Parent area,Area code
/reports/localarea?compare=1946157057,Darlington,Local Authority,North East,E06000005
/reports/localarea?compare=1946157058,County Durham,Local Authority,North East,E06000047
/reports/localarea?compare=1946157059,Hartlepool,Local Authority,North East,E06000001
/reports/localarea?compare=1946157060,Middlesbrough,Local Authority,North East,E06000002
/reports/localarea?compare=1946157061,Northumberland,Local Authority,North East,E06000057
/reports/localarea?compare=1946157062,Redcar and Cleveland,Local Authority,North East,E06000003
/reports/localarea?compare=1946157063,Stockton-on-Tees,Local Authority,North East,E06000004
/reports/localarea?compare=1946157064,Gateshead,Local Authority,North East,E08000037
/reports/localarea?compare=1946157065,Newcastle upon Tyne,Local Authority,North East,E08000021
/reports/localarea?compare=1946157066,North Tyneside,Local Authority,North East,E08000022
/reports/localarea?compare=1946157067,South Tyneside,Local Authority,North East,E08000023
/reports/localarea?compare=1946157068,Sunderland,Local Authority,North East,E08000024
/reports/localarea?compare=1946157069,Blackburn with Darwen,Local Authority,North West,E06000008
/reports/localarea?compare=1946157070,Blackpool,Local Authority,North West,E06000009
/reports/localarea?compare=1946157071,Cheshire East,Local Authority,North West,E06000049
/reports/localarea?compare=1946157072,Cheshire West and Chester,Local Authority,North West,E06000050
/reports/localarea?compare=1946157073,Halton,Local Authority,North West,E06000006
/reports/localarea?compare=1946157074,Warrington,Local Authority,North West,E06000007
/reports/localarea?compare=1946157075,Allerdale,Local Authority,North West,E07000026
/reports/localarea?compare=1946157076,Barrow-in-Furness,Local Authority,North West,E07000027
/reports/localarea?compare=1946157077,Carlisle,Local Authority,North West,E07000028
/reports/localarea?compare=1946157078,Copeland,Local Authority,North West,E07000029
/reports/localarea?compare=1946157079,Eden,Local Authority,North West,E07000030
/reports/localarea?compare=1946157080,South Lakeland,Local Authority,North West,E07000031
/reports/localarea?compare=1946157081,Bolton,Local Authority,North West,E08000001
/reports/localarea?compare=1946157082,Bury,Local Authority,North West,E08000002
/reports/localarea?compare=1946157083,Manchester,Local Authority,North West,E08000003
/reports/localarea?compare=1946157084,Oldham,Local Authority,North West,E08000004
/reports/localarea?compare=1946157085,Rochdale,Local Authority,North West,E08000005
/reports/localarea?compare=1946157086,Salford,Local Authority,North West,E08000006
/reports/localarea?compare=1946157087,Stockport,Local Authority,North West,E08000007
/reports/localarea?compare=1946157088,Tameside,Local Authority,North West,E08000008
/reports/localarea?compare=1946157089,Trafford,Local Authority,North West,E08000009
