URL,Place Name,Area Type,Parent area,Area code
/reports/localarea?compare=1170210817,Blackrod,Parish,Bolton,E04000001
/reports/localarea?compare=1170210818,Horwich,Parish,Bolton,E04000002
/reports/localarea?compare=1170210819,Westhoughton,Parish,Bolton,E04000003
/reports/localarea?compare=1170210820,Ringway,Parish,Manchester,E04000004
/reports/localarea?compare=1170210821,Saddleworth,Parish,Oldham,E04000005
/reports/localarea?compare=1170210822,Mossley,Parish,Tameside,E04000008
/reports/localarea?compare=1170210823,Carrington,Parish,Trafford,E04000009
/reports/localarea?compare=1170210824,Dunham Massey,Parish,Trafford,E04000010
/reports/localarea?compare=1170210825,Partington,Parish,Trafford,E04000011
/reports/localarea?compare=1170210826,Warburton,Parish,Trafford,E04000012
/reports/localarea?compare=1170210827,Haigh,Parish,Wigan,E04000013
/reports/localarea?compare=1170210828,Shevington,Parish,Wigan,E04000014
/reports/localarea?compare=1170210829,Worthington,Parish,Wigan,E04000015
/reports/localarea?compare=1170210830,Cronton,Parish,Knowsley,E04000016
/reports/localarea?compare=1170210831,Halewood,Parish,Knowsley,E04000017
/reports/localarea?compare=1170210832,Knowsley,Parish,Knowsley,E04000018
/reports/localarea?compare=1170210833,Prescot,Parish,Knowsley,E04000019
/reports/localarea?compare=1170210834,Tarbock,Parish,Knowsley,E04000020
/reports/localarea?compare=1170210835,Whiston,Parish,Knowsley,E04000021
/reports/localarea?compare=1170210836,Billinge Chapel End,Parish,St. Helens,E04000022
/reports/localarea?compare=1170210837,Bold,Parish,St. Helens,E04000023
/reports/localarea?compare=1170210838,Eccleston,Parish,St. Helens,E04000024
/reports/localarea?compare=1170210839,Rainford,Parish,St. Helens,E04000025
/reports/localarea?compare=1170210840,Rainhill,Parish,St. Helens,E04000026
/reports/localarea?compare=1170210841,Seneley Green,Parish,St. Helens,E04000027
/reports/localarea?compare=1170210842,Windle,Parish,St. Helens,E04000028
/reports/localarea?compare=1170210843,Aintree Village,Parish,Sefton,E04000029
/reports/localarea?compare=1170210844,Ince Blundell,Parish,Sefton,E04000030
/reports/localarea?compare=1170210845,Little Altcar,Parish,Sefton,E04000031
/reports/localarea?compare=1170210846,Lydiate,Parish,Sefton,E04000032
/reports/localarea?compare=1170210847,Maghull,Parish,Sefton,E04000033
/reports/localarea?compare=1170210848,Melling,Parish,Sefton,E04000034
/reports/localarea?compare=1170210849,Sefton,Parish,Sefton,E04000035
/reports/localarea?compare=1170210850,Thornton,Parish,Sefton,E04000036
/reports/localarea?compare=1170210851,Hightown,Parish,Sefton,E04000037
/reports/localarea?compare=1170210852,Formby,Parish,Sefton,E04000038
/reports/localarea?compare=1170210853,Billingley,Parish,Barnsley,E04000039
/reports/localarea?compare=1170210854,Brierley,Parish,Barnsley,E04000040
/reports/localarea?compare=1170210855,Cawthorne,Parish,Barnsley,E04000041
